r,theta,phi
6872.21457,35.8552261,149.4625956
6872.8059299999995,39.657347,149.61183269999998
6873.43883,43.4603051,149.7016382
6874.10775,47.2637726,149.7467467
6874.80704,51.0675076,149.7575636
6875.5308700000005,54.8713245,149.74166979999998
6876.27337,58.6750757,149.7047427
6877.02866,62.4786404,149.6511435
6877.79093,66.2819167,149.584304
6878.55455,70.0848168,149.5069896
6879.31416,73.8872633,149.4214829
6880.064770000001,77.6891876,149.32971659999998
6880.80171,81.4905286,149.2333718
6881.52065,85.2912309,149.1339548
6882.21773,89.0912436,149.03285879999999
6882.88951,92.8905199,148.9314164
6883.532980000001,96.6890162,148.83094789999998
6884.14578,100.4866909,148.7328081
6884.72608,104.283505,148.6384358
6885.2726,108.07942109999999,148.5494096
6885.78449,111.874402,148.46751559999998
6886.26138,115.66840930000001,148.3948326
6886.70334,119.4614012,148.3338446
6887.110850000001,123.25333,148.2875933
6887.48467,127.0441376,148.259893
6887.825900000001,130.833749,148.2556426
6888.13586,134.6220639,148.281289
6888.41604,138.4089423,148.34554219999998
6888.66796,142.19418100000001,148.46051409999998
6888.8932,145.9774765,148.64361409999998
6889.09338,149.7583588,148.9208564
6889.2702,153.5360708,149.332982
6889.42529,157.3093266,149.947641
6889.56019,161.07578230000001,150.88598349999998
6889.67619,164.8307241,152.38823589999998
6889.77434,168.5632026,155.00529799999998
6889.8553600000005,172.2412063,160.3193298
6889.919650000001,175.72249699999998,175.0072988
6889.967350000001,177.74365089999998,-123.12227349999999
6889.998320000001,175.4635567,-66.905672
6890.01224,171.9525324,-53.5986225
6890.00849,168.2679781,-48.6174155
6889.986150000001,164.5332944,-46.124354
6889.94396,160.7775307,-44.680900099999995
6889.880480000001,157.010855,-43.7748704
6889.7940499999995,153.2377052,-43.179811799999996
6889.68285,149.4603075,-42.780442
6869.9083200000005,9.135082300000008,-34.084545999999996
6869.73292,5.52313070000001,-24.4914615
6869.6295,2.567810200000011,12.548526899999999
6869.59887,3.4231115999999986,89.8862869
6869.6412,6.773326100000006,111.4119619
6869.75594,10.443857199999997,118.18010459999999
6869.94185,14.188197700000003,121.300118
6870.1970200000005,17.960174600000002,123.0300807
6870.51889,21.745328200000003,124.08952409999999
6870.9043,25.537706900000003,124.7758023
6871.349520000001,29.3344078,125.2335852
6871.85021,33.133838700000005,125.54159969999999
6872.40154,36.9350448,125.74634379999999
6872.998350000001,40.737412400000004,125.87705779999999
6873.63519,44.5405231,125.95306919999999
6874.306390000001,48.3440778,125.9876869
6875.00615,52.147852400000005,125.9903969
6875.72859,55.9516731,125.9681663
6876.46787,59.7554,125.92625149999999
6877.21821,63.558918000000006,125.8687183
6877.974,67.3621292,125.7987871
6878.729780000001,71.1649497,125.7190708
6879.480280000001,74.9673056,125.6317414
6880.22051,78.7691305,125.5386515
6880.94578,82.5703644,125.44142649999999
6881.6519100000005,86.3709516,125.34153579999999
6882.3352700000005,90.1708408,125.24035169999999
6882.99276,93.9699847,125.1392001
6883.62178,97.7683395,125.039407
6884.22029,101.5658642,124.9423475
6884.786690000001,105.3625206,124.8494959
6885.319850000001,109.1582707,124.7624841
6885.81917,112.9530764,124.68317309999999
6886.28453,116.7468982,124.6137457
6886.7162,120.5396926,124.55682859999999
6887.1147599999995,124.33140879999999,124.51566109999999
6887.481110000001,128.1219845,124.4943335
6887.81631,131.9113385,124.4981349
6888.12153,135.6993601,124.53407689999999
6888.39809,139.4858922,124.6117067
6888.64747,143.2707058,124.7444202
