Br,Btheta,Blambda
18120.4424,-12511.6561,-1812.8796
19389.496300000003,-12909.589600000001,-1296.5188
20891.732200000002,-13358.9269,-789.4121
22639.957700000003,-13795.9467,-312.5579
24616.9211,-14162.7702,107.7688
26791.499200000002,-14406.119200000001,438.2517
29110.804900000003,-14486.768900000001,629.4697
31512.439000000002,-14390.322600000001,611.9123000000001
33947.5287,-14098.730300000001,159.6575
36379.181000000004,-13506.6847,-1118.0988
38736.9731,-11749.980800000001,-5313.5478
41040.6865,1997.9459000000002,-11818.2741
43227.583600000005,7825.554800000001,-7535.855100000001
45245.1777,7712.8062,-5572.1425
47053.2869,6583.969800000001,-4458.1596
48601.3678,5031.0027,-3652.8035
49839.1135,3217.1519000000003,-2942.3398
50724.714700000004,1183.4253,-2374.2524000000003
51227.2964,-1030.5996,-1659.5397
51303.9005,-3299.6648,-1182.357
-46778.6469,-2116.5666,-169.7306
-46462.8208,-856.2544,308.5903
-46139.96,282.55420000000004,-45.4219
-45861.8245,-443.785,-1105.7891
-45635.384600000005,-1430.3255000000001,-1559.0172
-45466.6819,-2401.9637000000002,-1949.6019000000001
-45305.037800000006,-3456.5417,-2320.5906
-45098.5615,-4612.8241,-2641.9532
-44777.974500000004,-5895.425700000001,-2928.4331
-44264.5236,-7333.463000000001,-3217.6281000000004
