time_stamp,radius,colat,lon,X,Y,Z,flags_b,flags_q
6845.340972222222,6869.92823,16.949060099999997,-14.4135257,7329.8761,-1616.4657,43061.794,0,0
6845.341666666666,6869.66176,13.182235300000002,-12.4115079,6017.554700000001,-1335.6098000000002,43865.4539,0,0
6845.342361111111,6869.4655,9.450296899999998,-8.6600476,4812.0424,-652.0452,44557.8972,0,0
6845.343055555555,6869.34145,5.820979100000002,0.1187099,3463.1828,-221.8201,45185.920900000005,0,0
6845.34375,6869.29091,2.738621100000003,32.5063354,2015.8481000000002,707.504,45759.873700000004,0,0
6845.344444444445,6869.31451,3.1870653000000004,111.953074,470.2649,826.4545,46249.4323,0,0
6845.345138888889,6869.41222,6.469560900000005,136.360545,1477.1384,58.255900000000004,46600.534100000004,0,0
6845.345833333334,6869.58327,10.1287624,143.68857649999998,3021.9995000000004,-364.2287,46765.405,0,0
6845.346527777778,6869.8261600000005,13.869549000000006,146.99191349999998,4840.5281,-670.7208,46694.9553,0,0
6845.347222222223,6870.1387,17.6399816,148.8027004,6842.975200000001,-1171.9136,46297.0892,0,0
6845.347916666667,6870.51808,21.42429580000001,149.904571,8875.4042,-1493.5939,45537.333600000005,0,0
6845.3486111111115,6870.96079,25.2161198,150.6157929,10917.805400000001,-1748.9832000000001,44401.8013,0,0
6845.3493055555555,6871.46278,29.012382700000003,151.0894454,12906.7664,-1947.7357000000002,42897.1648,0,0
6845.35,6872.01945,32.8114141,151.408157,14808.331,-2077.4899,41050.024600000004,0,0
6845.350694444444,6872.62584,36.6122199,151.6204335,16582.4156,-2130.5194,38895.2303,0,0
6845.351388888889,6873.276620000001,40.4141648,151.75663319999998,18214.4012,-2102.3112,36483.0778,0,0
6845.352083333333,6873.966219999999,44.216818700000005,151.8367453,19699.7297,-1988.7046,33849.4622,0,0
6845.352777777778,6874.68891,48.019875500000005,151.8744899,21038.477600000002,-1793.047,31033.5224,0,0
6845.353472222222,6875.4388,51.823108600000005,151.87962009999998,22239.1644,-1520.1865,28068.202,0,0
6845.354166666667,6876.20986,55.6263432,151.8592818,23314.9749,-1180.0609,24979.2706,0,0
6845.354861111111,6876.99604,59.429440400000004,151.8188547,24280.352300000002,-786.4028000000001,21784.368700000003,0,0
6845.355555555556,6877.79128,63.2322864,151.76249149999998,25146.4961,-355.07370000000003,18488.1482,0,0
6845.35625,6878.5896299999995,67.0347855,151.6934751,25920.6541,99.8116,15095.0434,0,0
6845.356944444445,6879.38533,70.83685510000001,151.6144637,26608.0432,562.4038,11602.5043,0,0
6845.357638888889,6880.17293,74.6384233,151.5276621,27208.161200000002,1017.7320000000001,8004.9894,0,0
6845.358333333334,6880.94736,78.4394262,151.43494669999998,27709.988100000002,1451.3007,4290.9592,0,0
6845.359027777778,6881.70393,82.2398077,151.3379592,28092.7891,1851.6698000000001,458.8894,0,0
6845.359722222222,6882.4383100000005,86.039517,151.2381795,28330.5105,2212.8717,-3488.1979,0,0
6845.360416666666,6883.146650000001,89.8385078,151.1369851,28388.9815,2533.6645000000003,-7532.5182,0,0
6845.361111111111,6883.82555,93.6367382,151.03570259999998,28232.856600000003,2812.9322,-11640.284300000001,0,0
6845.361805555555,6884.472049999999,97.4341688,150.93565519999999,27839.4275,3051.0922,-15763.4048,0,0
6845.3625,6885.083820000001,101.230763,150.8382102,27190.576100000002,3252.4822000000004,-19845.1597,0,0
6845.363194444444,6885.65913,105.0264859,150.7448296,26283.826500000003,3425.2362000000003,-23825.623900000002,0,0
6845.363888888889,6886.19678,108.8213045,150.6571268,25126.965,3572.5401,-27639.080400000003,0,0
6845.364583333333,6886.69599,112.6151854,150.5769378,23749.3501,3698.4144,-31229.5812,0,0
6845.365277777778,6887.15651,116.4080938,150.5064107,22189.020800000002,3805.9737,-34560.7519,0,0
6845.365972222222,6887.578520000001,120.1999908,150.44812489999998,20477.5913,3895.7246,-37612.1515,0,0
6845.366666666667,6887.96259,123.990831,150.4052535,18642.3229,3962.2301,-40370.6359,0,0
6845.367361111111,6888.30967,127.7805571,150.3817942,16708.8736,4006.3696,-42831.9475,0,0
6845.368055555556,6888.6210200000005,131.5690938,150.38290519999998,14689.453000000001,4021.1217,-44995.333900000005,0,0
6845.36875,6888.89809,135.356338,150.4154082,12591.0215,4001.3454,-46853.9541,0,0
6845.3694444444445,6889.14248,139.1421429,150.48856809999998,10415.681700000001,3944.7216000000003,-48396.0855,0,0
6845.3701388888885,6889.355860000001,142.9262926,150.6153459,8168.1475,3843.1496,-49603.3199,0,0
6845.370833333333,6889.53997,146.7084607,150.81450139999998,5874.609600000001,3608.3720000000003,-50448.876500000006,0,0
6845.371527777777,6889.6966,150.4881361,151.1143004,3554.916,3399.5231000000003,-50897.441100000004,0,0
6845.372222222222,6889.82758,154.2644861,151.5594647,1226.9657,3329.7084,-50956.304000000004,0,0
6845.372916666666,6889.934740000001,158.0360769,152.225225,-1091.8978,3127.4574000000002,-50617.889800000004,0,0
6845.373611111111,6890.01976,161.80024980000002,153.2486371,-3302.2431,2987.8762,-49850.795000000006,0,18
6845.374305555555,6890.084100000001,165.55152859999998,154.9080134,-5357.9708,2967.34,-48676.9659,0,18
6845.375,6890.12895,169.2767279,157.8645848,-7183.713400000001,3222.1956,-47129.564000000006,0,18
6845.375694444445,6890.1552,172.9348867,164.13062109999998,-8570.7245,4143.000300000001,-45256.6053,0,18
6845.376388888889,6890.16341,176.3208437,-176.90690909999998,-8151.1974,7387.4673,-43113.7725,0,18
6845.377083333334,6890.1538900000005,177.5818077,-103.5570017,4882.9447,11258.2135,-40742.684700000005,0,18
6845.377777777778,6890.126730000001,174.8182895,-60.838389299999996,12038.621200000001,5471.6723,-38219.6066,0,18
6845.378472222223,6890.08176,171.2509758,-50.190360999999996,13532.868100000002,3228.2669,-35637.9665,0,18
6845.379166666667,6890.01858,167.55261919999998,-45.8970176,14197.2502,2227.0234,-33027.3089,0,6
6845.3798611111115,6889.93643,163.8126183,-43.6701756,14499.9668,1545.6375,-30448.3447,0,6
6845.3805555555555,6889.83426,160.05419990000001,-42.3556883,14535.2189,971.8149000000001,-27957.2354,0,6
6845.38125,6889.71086,156.28592700000002,-41.5214542,14346.0635,429.5398,-25622.7013,0,6
6845.381944444444,6889.56476,152.5116567,-40.9702979,13985.5071,-106.36,-23502.400700000002,0,6
6845.382638888889,6889.39437,148.7333658,-40.599641399999996,13518.0388,-645.1264,-21635.2451,0,6
6845.383333333333,6889.19808,144.9521623,-40.350892099999996,13008.668800000001,-1181.6975,-20038.235800000002,0,6
6845.384027777778,6888.97435,141.16870790000002,-40.1881475,12530.6932,-1709.7172,-18705.9136,0,6
6845.384722222222,6888.72169,137.38341739999998,-40.0881653,12142.3358,-2222.3697,-17599.1349,0,6
6845.385416666667,6888.43863,133.5965605,-40.035215799999996,11882.5683,-2718.7583,-16674.6528,0,6
6845.386111111111,6888.12372,129.8083187,-40.018251,11783.162900000001,-3196.4386,-15879.3304,0,6
6845.386805555556,6887.77559,126.0188182,-40.0292611,11857.8169,-3654.4901,-15154.042000000001,0,6
6845.3875,6887.39303,122.22815,-40.0622737,12110.4529,-4092.9831000000004,-14447.5084,0,6
6845.388194444445,6886.97512,118.4363824,-40.1127196,12542.031700000001,-4513.4614,-13710.225400000001,0,6
6845.388888888889,6886.52125,114.64356910000001,-40.1770182,13146.513700000001,-4915.824500000001,-12893.7674,0,6
6845.397916666667,6877.84145,65.2598747,-41.3655774,22136.5164,-5374.2493,18610.781300000002,0,18
6845.398611111111,6877.06372,61.456809,-41.4289949,21547.4189,-5095.0803000000005,21895.2036,0,18
6845.399305555556,6876.293310000001,57.6534558,-41.478310199999996,20741.7353,-4844.7146,25044.362100000002,0,18
6845.4,6875.53597,53.8499211,-41.509867799999995,19743.9019,-4627.3576,28018.7284,0,0
6845.4006944444445,6874.79765,50.0463321,-41.518992399999995,18572.9353,-4438.013800000001,30787.965500000002,0,0
6845.4013888888885,6874.08432,46.242845100000004,-41.4995577,17259.0656,-4267.659000000001,33318.259300000005,0,0
6845.402083333333,6873.40187,42.4396585,-41.4433246,15832.1227,-4118.5778,35585.4976,0,0
6845.402777777777,6872.75608,38.637033800000005,-41.338893399999996,14323.3618,-3972.9566,37574.4286,0,0
6845.403472222222,6872.15255,34.8353289,-41.1699724,12774.378200000001,-3821.0971000000004,39275.6122,0,0
6845.404166666666,6871.59659,31.035057600000002,-40.912383899999995,11219.884,-3653.6453,40692.1459,0,0
6845.404861111111,6871.0932,27.236998300000003,-40.5285788,9700.1196,-3444.9712,41833.2388,0,0
6845.405555555555,6870.64695,23.442407400000008,-39.956860299999995,8262.9506,-3226.5138,42717.456000000006,0,0
6845.40625,6870.26199,19.653480400000007,-39.0882517,6927.0734,-2952.6856000000002,43411.1316,0,0
6845.406944444445,6869.94193,15.87446700000001,-37.710718799999995,5704.428400000001,-2623.9158,43972.759000000005,0,0
6845.407638888889,6869.68988,12.114852499999998,-35.351312899999996,4613.099,-2145.5738,44450.2457,0,0
6845.408333333334,6869.50832,8.40094830000001,-30.7107492,3657.6295,-1708.6671000000001,44888.2764,0,0
6845.409027777778,6869.39908,4.839441000000008,-18.7146562,2839.483,-995.4816000000001,45335.332,0,0
6845.409722222223,6869.363310000001,2.303026200000005,31.499406399999998,1918.5147000000002,626.4822,45804.7549,0,0
6845.410416666667,6869.40146,4.028340600000007,99.0957407,805.8654,945.0979000000001,46281.5939,0,0
6845.4111111111115,6869.51332,7.496014400000007,115.42085829999999,1593.2666000000002,372.4914,46726.0106,0,0
6845.4118055555555,6869.69794,11.188840999999996,121.0980979,2779.8233,-133.6629,47083.956600000005,0,0
6845.4125,6869.95371,14.940693800000005,123.8427864,4333.3477,-745.4645,47261.8611,0,0
6845.413194444444,6870.27832,18.715998900000002,125.40281239999999,6028.7883,-1249.3038000000001,47205.0688,0,0
6845.413888888889,6870.66884,22.502839199999997,126.3716498,7869.445500000001,-1704.3832,46860.1269,0,0
6845.414583333333,6871.121730000001,26.296110300000002,127.00414529999999,9810.4989,-2101.1987,46195.391500000005,0,0
6845.415277777778,6871.6329000000005,30.093256100000005,127.4275004,11815.8073,-2435.5117,45180.921,0,0
6845.415972222222,6872.19762,33.892847,127.712216,13842.859100000001,-2696.0143000000003,43800.9781,0,0
6845.416666666667,6872.81075,37.6940134,127.9005107,15851.981000000002,-2875.9016,42063.0209,0,0
6845.417361111111,6873.466850000001,41.4961901,128.01922299999998,17824.3478,-2974.0325000000003,39978.6504,0,0
6845.418055555556,6874.16018,45.2989885,128.0862496,19733.262600000002,-2987.301,37549.8677,0,0
6845.41875,6874.88484,49.1021287,128.11400469999998,21553.2481,-2916.2572,34790.2065,0,0
6845.419444444445,6875.6348,52.905400400000005,128.1113925,23259.662,-2771.2894,31718.073800000002,0,0
6845.420138888889,6876.403969999999,56.7086399,128.08498939999998,24833.8555,-2558.4405,28356.1567,0,0
6845.420833333334,6877.186350000001,60.511715300000006,128.0397825,26254.1414,-2285.1535,24722.2637,0,0
6845.421527777778,6877.97603,64.31451799999999,127.97964759999999,27497.3544,-1965.2692000000002,20849.3024,0,0
6845.422222222222,6878.76726,68.1169563,127.90766959999999,28546.38,-1611.0396,16768.967,0,0
6845.422916666666,6879.554480000001,71.9189515,127.8263631,29385.3816,-1238.7698,12519.2723,0,0
6845.423611111111,6880.332350000001,75.7204346,127.7378289,30005.8701,-863.0126,8139.548000000001,0,0
6845.424305555555,6881.0958200000005,79.5213442,127.6438687,30401.431800000002,-495.7063,3666.3032000000003,0,0
6845.425,6881.84024,83.3216247,127.5460719,30567.930500000002,-151.2414,-863.5956,0,0
6845.425694444444,6882.56144,87.1212252,127.4458851,30499.619000000002,163.61110000000002,-5417.0458,0,0
6845.426388888889,6883.2557400000005,90.9200992,127.3446678,30193.4968,439.4726,-9956.445800000001,0,0
6845.427083333333,6883.92008,94.7182039,127.24374259999999,29644.250200000002,670.7577,-14452.8346,0,0
6845.427777777778,6884.55192,98.5154999,127.14444119999999,28838.655700000003,854.3474,-18857.658600000002,0,0
6845.428472222222,6885.1492800000005,102.3119513,127.04815389999999,27786.8571,986.399,-23121.100000000002,0,0
6845.429166666667,6885.71058,106.1075239,126.9563812,26492.628,1064.1987000000001,-27200.5442,0,0
6845.429861111111,6886.23475,109.9021835,126.87079349999999,24973.623,1091.5638000000001,-31039.718200000003,0,0
6845.430555555556,6886.721350000001,113.6958958,126.79330739999999,23259.497900000002,1065.2626,-34604.551,0,0
6845.43125,6887.17036,117.4886247,126.726182,21377.8498,983.9390000000001,-37853.8986,0,0
6845.4319444444445,6887.58217,121.2803295,126.6721491,19368.948800000002,853.888,-40768.5426,0,0
6845.4326388888885,6887.9575,125.0709615,126.63459329999999,17263.1647,678.4953,-43334.6221,0,0
6845.433333333333,6888.297350000001,128.8604591,126.6178077,15089.7823,454.5512,-45560.808300000004,0,0
6845.434027777777,6888.6028799999995,132.6487401,126.62736969999999,12854.2214,188.79590000000002,-47439.8065,0,0
6845.434722222222,6888.87539,136.4356896,126.6707101,10574.3344,-114.3249,-48957.564900000005,0,0
6845.435416666666,6889.11636,140.22114249999998,126.75800269999999,8268.529,-443.68640000000005,-50105.3016,0,0
6845.436111111111,6889.3274,144.0048545,126.90361229999999,5956.51,-796.0758000000001,-50876.0437,0,0
